roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
1,0.0015,3.0,0.003,0.003,20,-21.85,201,46.3,-0.0223,7815.0,65,77,59
3,0.002,3.0,0.003,0.002,20,-21.9,220,40.5,-0.0121,7810.0,57,103,60
1,0.003,,0.003,0.002,10,-22.0,282,47.2,0.0121,7800.0,72,105,105
3,0.003,2.0,0.003,0.002,30,-22.04,211,37.9,-0.0178,7796.0,63,113,35
1,0.003,,0.003,0.003,10,-22.07,276,51.8,0.0099,7793.0,76,67,133
3,0.002,3.0,0.003,0.003,10,-22.08,220,46.4,-0.0132,7792.0,50,48,122
2,0.0015,3.0,0.003,0.002,20,-22.27,256,43.4,0.0019,7773.0,74,118,64
1,0.003,,0.003,0.002,20,-22.3,282,43.3,0.0108,7770.0,83,117,82
2,0.0015,3.0,0.005,0.002,10,-22.33,261,41.4,0.0035,7767.0,23,96,142
3,0.003,2.0,0.003,0.003,20,-22.49,209,44.5,-0.0215,7751.0,68,76,65
3,0.003,2.0,0.003,0.003,30,-22.58,208,45.7,-0.0226,7742.0,74,86,48
2,0.0015,3.0,0.005,0.003,20,-22.7,244,44.3,-0.0051,7730.0,40,88,116
2,0.003,,0.005,0.003,30,-22.75,403,46.2,0.0365,7725.0,114,161,128
1,0.003,,0.003,0.003,20,-22.77,275,48.4,0.0064,7723.0,88,82,105
2,0.0015,3.0,0.003,0.002,10,-22.85,264,44.7,0.002,7715.0,56,92,116
3,0.002,3.0,0.005,0.003,30,-22.9,204,38.2,-0.027,7710.0,41,86,77
3,0.002,3.0,0.003,0.002,30,-22.93,219,37.4,-0.0187,7707.0,62,113,44
2,0.0015,3.0,0.003,0.002,30,-22.93,254,41.3,-0.0022,7707.0,80,127,47
5,0.003,2.0,0.005,0.002,30,-23.69,260,32.7,-0.0036,7631.0,49,145,66
5,0.003,2.0,0.005,0.002,10,-23.74,268,39.6,-0.0008,7626.0,29,108,131
3,0.002,3.0,0.003,0.003,20,-24.17,217,44.7,-0.0271,7583.0,61,75,81
2,0.003,,0.005,0.002,30,-24.27,415,38.6,0.0335,7573.0,101,217,97
5,0.003,2.0,0.005,0.002,20,-24.31,263,34.6,-0.0055,7569.0,45,137,81
5,0.003,2.0,0.005,0.003,30,-24.4,252,38.9,-0.0105,7560.0,52,105,95
2,0.002,2.0,0.005,0.002,30,-24.55,281,34.5,0.0002,7545.0,55,161,65
2,0.002,2.0,0.005,0.002,20,-24.79,285,36.1,0.0004,7521.0,50,148,87
2,0.0015,3.0,0.005,0.003,10,-24.79,260,43.1,-0.0093,7521.0,23,62,175
2,0.0015,3.0,0.003,0.003,10,-24.91,263,46.8,-0.0087,7509.0,59,58,146
5,0.002,3.0,0.005,0.002,20,-25.01,278,37.1,-0.0032,7499.0,38,129,111
5,0.003,2.0,0.005,0.003,10,-25.17,263,41.8,-0.0099,7483.0,28,64,171
2,0.0015,3.0,0.005,0.003,30,-25.29,240,40.0,-0.021,7471.0,48,100,92
3,0.002,3.0,0.003,0.003,30,-25.38,215,42.8,-0.0358,7462.0,68,86,61
2,0.0015,3.0,0.003,0.003,20,-25.44,255,47.1,-0.0148,7456.0,79,89,87
2,0.003,,0.005,0.003,20,-25.77,406,45.8,0.0271,7423.0,97,146,163
2,0.002,2.0,0.005,0.002,10,-25.8,295,40.3,-0.0008,7420.0,33,125,137
5,0.003,2.0,0.003,0.002,10,-25.94,279,41.9,-0.0074,7406.0,63,113,103
3,0.0015,3.0,0.005,0.002,20,-26.0,307,39.1,0.0023,7400.0,42,140,125
5,0.002,3.0,0.005,0.002,30,-26.03,275,34.2,-0.0093,7397.0,46,147,82
2,0.0015,3.0,0.003,0.003,30,-26.05,251,46.2,-0.0199,7395.0,87,98,66
2,0.002,2.0,0.005,0.003,30,-26.58,278,41.0,-0.0106,7342.0,61,123,94
2,0.003,,0.005,0.002,20,-26.63,418,38.8,0.0263,7337.0,87,200,131
5,0.003,2.0,0.005,0.003,20,-26.66,256,39.1,-0.0206,7334.0,47,97,112
2,0.002,2.0,0.005,0.003,20,-26.79,282,41.5,-0.0101,7321.0,54,109,119
2,0.003,,0.005,0.003,10,-26.79,416,47.6,0.0255,7321.0,68,112,236
5,0.002,3.0,0.005,0.002,10,-26.82,289,41.2,-0.0078,7318.0,22,107,160
2,0.002,2.0,0.005,0.003,10,-27.01,293,43.3,-0.0071,7299.0,34,78,181
5,0.003,2.0,0.003,0.003,10,-27.15,273,44.7,-0.0158,7285.0,64,66,143
5,0.002,3.0,0.003,0.002,10,-27.39,296,44.3,-0.0079,7261.0,55,106,135
3,0.0015,3.0,0.005,0.003,20,-27.45,304,44.4,-0.0051,7255.0,44,96,164
2,0.003,,0.005,0.002,10,-27.52,423,42.8,0.0243,7248.0,63,175,185
5,0.002,3.0,0.003,0.002,30,-27.52,289,39.8,-0.0111,7248.0,82,144,63
5,0.003,2.0,0.003,0.002,20,-27.64,277,37.9,-0.0165,7236.0,76,138,63
5,0.003,2.0,0.003,0.002,30,-27.65,276,37.7,-0.017,7235.0,82,147,47
3,0.0015,3.0,0.005,0.002,30,-27.65,303,34.3,-0.0064,7235.0,52,159,92
3,0.0015,3.0,0.005,0.002,10,-27.8,321,42.7,-0.0012,7220.0,24,113,184
5,0.002,3.0,0.003,0.002,20,-27.83,290,39.7,-0.0122,7217.0,72,130,88
3,0.0015,3.0,0.005,0.003,30,-27.84,297,41.4,-0.0094,7216.0,56,107,134
1,0.0015,2.0,0.005,0.002,30,-27.85,323,34.1,-0.0006,7215.0,62,190,71
5,0.002,3.0,0.005,0.003,20,-27.88,274,40.9,-0.0189,7212.0,39,90,145
2,0.002,2.0,0.003,0.002,10,-28.1,306,43.1,-0.0076,7190.0,69,125,112
5,0.002,3.0,0.005,0.003,30,-28.14,270,39.6,-0.0219,7186.0,50,106,114
5,0.002,3.0,0.005,0.003,10,-28.34,287,42.5,-0.0158,7166.0,22,58,207
2,0.002,2.0,0.003,0.002,30,-28.49,298,39.3,-0.0123,7151.0,92,161,45
5,0.003,2.0,0.003,0.003,30,-28.79,268,43.7,-0.0263,7121.0,90,107,71
2,0.002,2.0,0.003,0.002,20,-28.93,301,39.9,-0.0132,7107.0,84,150,67
3,0.0015,3.0,0.005,0.003,10,-28.98,320,44.7,-0.0066,7102.0,25,61,234
5,0.002,3.0,0.003,0.003,10,-29.09,294,45.6,-0.0167,7091.0,57,57,180
2,0.002,2.0,0.003,0.003,10,-29.4,304,46.4,-0.0142,7060.0,75,79,150
1,0.0015,2.0,0.005,0.002,20,-29.51,331,35.3,-0.0053,7049.0,54,179,98
3,0.0015,3.0,0.003,0.002,10,-29.52,329,44.4,-0.0061,7048.0,60,114,155
3,0.0015,3.0,0.003,0.002,20,-29.62,321,41.4,-0.0092,7038.0,80,143,98
1,0.0015,2.0,0.005,0.002,10,-29.63,340,40.9,-0.0031,7037.0,35,144,161
5,0.003,2.0,0.003,0.003,20,-29.87,270,42.2,-0.0311,7013.0,81,97,92
3,0.0015,3.0,0.003,0.002,30,-30.07,318,39.0,-0.0122,6993.0,89,155,74
5,0.002,3.0,0.003,0.003,30,-30.18,285,45.3,-0.0257,6982.0,89,108,88
2,0.003,,0.003,0.003,30,-30.28,425,51.8,0.0155,6972.0,171,152,102
1,0.0015,2.0,0.003,0.002,10,-30.76,347,44.4,-0.0057,6924.0,76,140,131
2,0.002,2.0,0.003,0.003,30,-30.81,295,45.8,-0.0244,6919.0,103,123,69
3,0.002,2.0,0.005,0.002,20,-30.88,362,36.7,-0.0017,6912.0,59,184,119
5,0.002,3.0,0.003,0.003,20,-30.94,287,43.2,-0.0287,6906.0,74,92,121
3,0.0015,3.0,0.003,0.003,10,-31.13,328,46.3,-0.0135,6887.0,63,62,203
5,0.0015,3.0,0.005,0.002,20,-31.13,365,37.8,-0.0018,6887.0,49,169,147
3,0.0015,3.0,0.003,0.003,30,-31.16,313,45.7,-0.0189,6884.0,98,110,105
1,0.0015,2.0,0.005,0.003,10,-31.24,338,44.4,-0.0104,6876.0,36,92,210
1,0.0015,2.0,0.003,0.002,30,-31.24,337,38.9,-0.0108,6876.0,108,183,46
2,0.002,2.0,0.003,0.003,20,-31.36,298,44.6,-0.0259,6864.0,92,111,95
3,0.002,2.0,0.005,0.002,30,-31.39,356,34.3,-0.0054,6861.0,65,200,91
3,0.002,2.0,0.005,0.003,30,-31.69,345,41.2,-0.0099,6831.0,72,144,129
3,0.002,2.0,0.005,0.002,10,-31.8,371,41.2,-0.0029,6820.0,37,148,186
3,0.0015,3.0,0.003,0.003,20,-31.82,319,46.1,-0.0198,6818.0,84,101,134
5,0.0015,3.0,0.005,0.002,30,-31.9,358,33.8,-0.0069,6810.0,62,193,103
1,0.0015,2.0,0.005,0.003,30,-31.97,318,39.6,-0.0206,6803.0,69,153,96
2,0.003,,0.003,0.003,10,-32.08,435,51.7,0.0114,6792.0,130,113,192
3,0.002,2.0,0.005,0.003,20,-32.18,354,41.8,-0.0092,6782.0,65,130,159
1,0.0015,2.0,0.003,0.003,10,-32.18,344,48.3,-0.0126,6782.0,83,91,170
2,0.0015,2.0,0.005,0.002,20,-32.23,433,38.6,0.0105,6777.0,70,209,154
1,0.0015,2.0,0.003,0.002,20,-32.53,341,39.0,-0.0151,6747.0,98,175,68
2,0.003,,0.003,0.003,20,-32.6,428,49.8,0.0082,6740.0,152,141,135
