roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
1,0.002,,0.003,0.002,10,-2.65,25,44.0,-0.0072,9735.0,2,6,17
5,0.002,3.0,0.003,0.002,30,-2.66,20,45.0,-0.0345,9734.0,3,9,8
3,0.003,,0.003,0.003,10,-2.66,21,33.3,-0.0284,9734.0,1,2,18
5,0.003,3.0,0.005,0.002,30,-2.67,15,26.7,-0.0801,9733.0,1,8,6
3,0.0015,3.0,0.005,0.003,10,-2.68,25,52.0,-0.0084,9732.0,0,4,21
1,0.002,,0.005,0.002,10,-2.68,25,44.0,-0.0086,9732.0,0,6,19
2,0.003,,0.003,0.002,20,-2.68,20,40.0,-0.0355,9732.0,1,6,13
2,0.002,2.0,0.005,0.002,20,-2.68,20,35.0,-0.0354,9732.0,2,11,7
2,0.002,3.0,0.003,0.003,20,-2.72,17,41.2,-0.0619,9728.0,2,5,10
2,0.002,3.0,0.003,0.003,30,-2.72,17,47.1,-0.0616,9728.0,3,7,7
5,0.002,3.0,0.005,0.002,20,-2.74,20,50.0,-0.0387,9726.0,0,9,11
3,0.002,2.0,0.003,0.002,10,-2.74,26,46.2,-0.0066,9726.0,2,7,17
1,0.002,,0.005,0.003,20,-2.75,24,41.7,-0.0161,9725.0,1,3,20
2,0.0015,3.0,0.003,0.002,10,-2.75,24,45.8,-0.0161,9725.0,2,9,13
1,0.002,,0.003,0.003,10,-2.76,24,41.7,-0.0166,9724.0,2,3,19
3,0.002,2.0,0.005,0.002,10,-2.77,26,46.2,-0.0079,9723.0,0,7,19
3,0.003,,0.003,0.003,20,-2.8,21,38.1,-0.035,9720.0,1,2,18
1,0.002,,0.005,0.003,10,-2.8,24,41.7,-0.018,9720.0,0,3,21
2,0.0015,3.0,0.005,0.002,10,-2.81,24,45.8,-0.0185,9719.0,0,9,15
2,0.003,,0.003,0.003,30,-2.81,20,40.0,-0.0424,9719.0,2,4,14
2,0.003,,0.003,0.003,20,-2.81,20,40.0,-0.0426,9719.0,1,2,17
2,0.002,3.0,0.003,0.002,20,-2.82,17,35.3,-0.0683,9718.0,2,10,5
2,0.003,,0.005,0.003,30,-2.83,20,40.0,-0.0432,9717.0,1,4,15
1,0.002,,0.003,0.003,30,-2.84,24,45.8,-0.02,9716.0,4,5,15
2,0.002,2.0,0.003,0.003,20,-2.84,21,42.9,-0.0369,9716.0,3,5,13
3,0.003,,0.003,0.002,30,-2.84,21,38.1,-0.0368,9716.0,2,7,12
5,0.002,2.0,0.005,0.002,30,-2.85,29,44.8,0.0007,9715.0,4,13,12
2,0.002,3.0,0.005,0.003,30,-2.85,17,41.2,-0.0698,9715.0,1,7,9
2,0.0015,3.0,0.003,0.003,10,-2.85,24,45.8,-0.0202,9715.0,2,4,18
2,0.002,2.0,0.003,0.003,30,-2.85,21,47.6,-0.0376,9715.0,5,7,9
5,0.003,,0.005,0.002,10,-2.88,30,40.0,0.0028,9712.0,1,7,22
2,0.0015,2.0,0.005,0.002,30,-2.89,31,41.9,0.0058,9711.0,4,13,14
1,0.002,,0.005,0.002,20,-2.89,25,36.0,-0.0171,9711.0,1,9,15
5,0.002,3.0,0.005,0.003,20,-2.9,20,55.0,-0.0472,9710.0,0,5,15
2,0.0015,3.0,0.005,0.003,10,-2.9,24,45.8,-0.0226,9710.0,0,4,20
2,0.002,3.0,0.003,0.002,30,-2.91,17,35.3,-0.0736,9709.0,2,10,5
3,0.002,2.0,0.003,0.003,10,-2.91,26,46.2,-0.0133,9709.0,2,4,20
1,0.003,,0.003,0.002,30,-2.93,18,33.3,-0.0652,9707.0,0,6,12
3,0.002,2.0,0.003,0.002,20,-2.93,26,50.0,-0.014,9707.0,4,11,11
1,0.003,,0.005,0.002,30,-2.93,18,33.3,-0.0652,9707.0,0,6,12
3,0.002,2.0,0.005,0.003,10,-2.94,26,46.2,-0.0146,9706.0,0,4,22
5,0.002,2.0,0.005,0.002,20,-2.94,29,48.3,-0.0025,9706.0,3,13,13
5,0.002,3.0,0.005,0.003,30,-2.95,19,42.1,-0.0575,9705.0,1,6,12
2,0.002,3.0,0.005,0.003,20,-2.96,17,41.2,-0.0767,9704.0,0,5,12
1,0.002,,0.003,0.003,20,-2.97,24,41.7,-0.0253,9703.0,2,3,19
1,0.003,,0.005,0.002,20,-2.99,18,27.8,-0.0688,9701.0,0,6,12
1,0.003,,0.003,0.002,20,-2.99,18,27.8,-0.0688,9701.0,0,6,12
2,0.002,2.0,0.003,0.002,30,-3.0,21,38.1,-0.0448,9700.0,4,11,6
3,0.003,,0.003,0.002,20,-3.01,21,33.3,-0.0454,9699.0,1,7,13
2,0.002,2.0,0.003,0.002,20,-3.02,21,38.1,-0.0456,9698.0,3,11,7
1,0.002,,0.003,0.002,30,-3.03,25,40.0,-0.0229,9697.0,4,9,12
3,0.002,2.0,0.003,0.002,30,-3.05,26,46.2,-0.0188,9695.0,5,11,10
2,0.002,3.0,0.005,0.002,20,-3.07,17,35.3,-0.0831,9693.0,0,10,7
3,0.002,3.0,0.005,0.002,30,-3.09,19,36.8,-0.0649,9691.0,1,9,9
5,0.0015,3.0,0.003,0.002,10,-3.1,29,51.7,-0.0085,9690.0,2,9,18
1,0.0015,,0.005,0.003,30,-3.12,37,48.6,0.0147,9688.0,3,8,26
1,0.003,,0.003,0.003,20,-3.13,18,27.8,-0.0766,9687.0,0,2,16
1,0.003,,0.005,0.003,20,-3.13,18,27.8,-0.0766,9687.0,0,2,16
2,0.0015,2.0,0.005,0.002,20,-3.13,31,45.2,-0.0024,9687.0,2,12,17
3,0.0015,3.0,0.003,0.002,20,-3.13,25,44.0,-0.0271,9687.0,3,9,13
5,0.003,,0.005,0.003,10,-3.14,30,40.0,-0.0061,9686.0,1,4,25
1,0.0015,,0.003,0.002,10,-3.14,42,57.1,0.0241,9686.0,3,7,32
2,0.0015,2.0,0.005,0.003,30,-3.14,30,46.7,-0.0061,9686.0,3,9,18
2,0.002,3.0,0.005,0.002,30,-3.15,17,29.4,-0.0879,9685.0,1,10,6
3,0.002,2.0,0.003,0.003,20,-3.15,26,53.8,-0.0227,9685.0,4,7,15
5,0.0015,3.0,0.005,0.002,10,-3.16,29,51.7,-0.0105,9684.0,0,9,20
5,0.002,2.0,0.005,0.003,30,-3.2,28,46.4,-0.0158,9680.0,3,8,17
1,0.003,,0.003,0.003,30,-3.21,18,33.3,-0.0809,9679.0,0,4,14
1,0.003,,0.005,0.003,30,-3.21,18,33.3,-0.0809,9679.0,0,4,14
1,0.002,,0.003,0.002,20,-3.22,25,36.0,-0.0306,9678.0,3,9,13
2,0.0015,2.0,0.005,0.003,20,-3.22,31,48.4,-0.0054,9678.0,2,7,22
