lookback,take_profit_pct,stop_loss_pct,max_hold_bars,trend_ema_period,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
5,0.006,0.0015,30,120.0,-16.73,186,40.3,0.0018,8327.0,7,71,108
30,0.002,0.0015,30,,-16.73,178,45.5,-0.0027,8327.0,40,63,75
30,0.004,0.0015,10,120.0,-16.75,185,44.9,0.001,8325.0,4,25,156
15,0.003,0.0015,30,120.0,-16.8,159,38.4,-0.0155,8320.0,20,63,76
5,0.003,0.002,45,120.0,-16.82,151,39.7,-0.0218,8318.0,28,58,65
20,0.004,0.0015,20,120.0,-16.89,166,39.8,-0.0113,8311.0,8,52,106
30,0.006,0.0015,10,120.0,-16.92,185,44.3,-0.0001,8308.0,1,26,158
10,0.006,0.0015,30,120.0,-16.93,168,35.1,-0.0102,8307.0,6,71,91
30,0.002,0.0015,20,60.0,-16.93,177,43.5,-0.0047,8307.0,26,48,103
15,0.004,0.002,45,60.0,-16.98,155,38.1,-0.0198,8302.0,17,60,78
30,0.003,0.0015,10,120.0,-17.01,186,44.6,-0.0002,8299.0,5,25,156
30,0.003,0.003,30,,-17.02,162,46.3,-0.015,8298.0,23,26,113
5,0.004,0.003,30,120.0,-17.03,172,44.2,-0.0083,8297.0,12,27,133
20,0.002,0.002,45,120.0,-17.1,137,36.5,-0.0367,8290.0,31,54,52
10,0.004,0.003,30,120.0,-17.13,156,41.7,-0.0202,8287.0,10,26,120
20,0.004,0.003,30,120.0,-17.13,141,41.8,-0.0331,8287.0,9,24,108
15,0.006,0.0015,20,120.0,-17.16,179,37.4,-0.005,8284.0,7,53,119
10,0.004,0.0015,45,60.0,-17.19,169,37.9,-0.0114,8281.0,17,84,68
5,0.003,0.003,45,120.0,-17.19,143,43.4,-0.0316,8281.0,28,31,84
20,0.006,0.002,20,120.0,-17.2,163,39.9,-0.0156,8280.0,5,39,119
20,0.006,0.0015,30,60.0,-17.2,171,38.0,-0.0102,8280.0,6,68,97
5,0.006,0.002,45,60.0,-17.22,166,41.6,-0.0136,8278.0,9,65,92
15,0.003,0.0015,45,60.0,-17.24,165,37.0,-0.0145,8276.0,25,78,62
30,0.004,0.002,10,120.0,-17.26,185,44.9,-0.0023,8274.0,4,17,164
5,0.006,0.003,45,60.0,-17.28,158,45.6,-0.0197,8272.0,10,36,112
10,0.002,0.0015,45,120.0,-17.31,159,39.6,-0.0194,8269.0,37,75,47
20,0.003,0.003,30,120.0,-17.32,144,42.4,-0.0319,8268.0,18,24,102
5,0.006,0.002,30,120.0,-17.32,180,42.2,-0.0055,8268.0,7,52,121
30,0.002,0.002,30,,-17.37,175,47.4,-0.0089,8263.0,40,46,89
30,0.002,0.003,20,120.0,-17.42,146,44.5,-0.031,8258.0,21,19,106
30,0.006,0.003,20,60.0,-17.42,164,41.5,-0.0165,8258.0,5,20,139
30,0.006,0.002,10,120.0,-17.43,185,44.3,-0.0034,8257.0,1,17,167
10,0.004,0.002,30,120.0,-17.43,162,38.9,-0.0181,8257.0,10,49,103
10,0.003,0.002,45,120.0,-17.44,146,37.7,-0.031,8256.0,25,61,60
15,0.002,0.0015,45,120.0,-17.47,151,35.8,-0.027,8253.0,32,72,47
15,0.006,0.0015,30,60.0,-17.48,182,39.6,-0.0053,8252.0,7,71,104
30,0.003,0.002,10,120.0,-17.52,186,44.6,-0.0034,8248.0,5,17,164
10,0.003,0.003,45,120.0,-17.52,138,42.0,-0.0393,8248.0,27,33,78
10,0.003,0.003,30,120.0,-17.52,160,41.9,-0.0201,8248.0,23,27,110
30,0.003,0.002,20,,-17.54,186,43.5,-0.0035,8246.0,17,36,133
30,0.004,0.003,20,60.0,-17.58,165,41.8,-0.017,8242.0,8,20,137
20,0.002,0.0015,30,120.0,-17.59,158,39.9,-0.0223,8241.0,29,62,67
30,0.002,0.0015,10,120.0,-17.61,189,43.9,-0.0024,8239.0,16,26,147
15,0.006,0.002,30,60.0,-17.62,177,41.2,-0.0093,8238.0,7,54,116
5,0.003,0.003,30,120.0,-17.63,175,45.7,-0.0106,8237.0,26,29,120
20,0.002,0.0015,45,60.0,-17.63,168,41.1,-0.0153,8237.0,43,78,47
5,0.004,0.0015,30,120.0,-17.68,188,40.4,-0.0033,8232.0,14,71,103
20,0.004,0.002,20,120.0,-17.69,166,40.4,-0.0171,8231.0,8,39,119
20,0.003,0.0015,20,120.0,-17.72,169,40.2,-0.0153,8228.0,12,53,104
20,0.004,0.003,45,60.0,-17.74,144,38.9,-0.0353,8226.0,17,39,88
20,0.004,0.0015,45,,-17.77,183,36.6,-0.0067,8223.0,21,91,71
30,0.004,0.003,10,120.0,-17.78,185,44.9,-0.0057,8222.0,4,10,171
10,0.003,0.002,30,120.0,-17.8,167,39.5,-0.0172,8220.0,23,50,94
15,0.002,0.002,45,120.0,-17.87,145,38.6,-0.0356,8213.0,34,56,55
15,0.006,0.002,20,120.0,-17.87,179,38.5,-0.0098,8213.0,7,37,135
30,0.002,0.0015,20,,-17.88,195,44.6,-0.0009,8212.0,31,50,114
30,0.002,0.002,20,60.0,-17.9,177,43.5,-0.0113,8210.0,26,33,118
10,0.003,0.0015,45,60.0,-17.9,174,39.7,-0.0132,8210.0,27,84,63
30,0.006,0.003,20,,-17.93,180,43.3,-0.0095,8207.0,5,20,155
15,0.004,0.0015,20,120.0,-17.93,182,38.5,-0.0084,8207.0,10,52,120
